,Unnamed: 0,AsOfDate,Term,Houston Zone,West Zone,South Zone,North Zone,Peak,Region,asofmonth
590671,505167,2020-04-02,2025-06-01,19.7557,14.1022,18.484,18.2934,Monthly,OTC Global Holdings,4
590672,68416,2020-04-02,2025-07-01,60.4649,56.0802,54.0571,57.0652,Monthly,OTC Global Holdings,4
590673,505168,2020-04-02,2025-07-01,28.8553,25.138,27.109,26.6412,Monthly,OTC Global Holdings,4
590674,68417,2020-04-02,2025-08-01,81.9267,78.5053,74.449,78.8009,Monthly,OTC Global Holdings,4
590675,505169,2020-04-02,2025-08-01,31.4956,27.8845,29.7791,29.192,Monthly,OTC Global Holdings,4
590676,68418,2020-04-02,2025-09-01,36.1996,29.8541,30.6539,31.4895,Monthly,OTC Global Holdings,4
590677,505170,2020-04-02,2025-09-01,19.5862,15.0929,18.5562,18.164,Monthly,OTC Global Holdings,4
590678,68419,2020-04-02,2025-10-01,23.0353,18.32,20.4271,21.1193,Monthly,OTC Global Holdings,4
590679,505171,2020-04-02,2025-10-01,17.6128,11.5906,16.311,15.4941,Monthly,OTC Global Holdings,4
590680,68420,2020-04-02,2025-11-01,22.9061,18.2164,20.3552,21.0013,Monthly,OTC Global Holdings,4
590681,505172,2020-04-02,2025-11-01,16.7993,10.6937,15.4571,14.5992,Monthly,OTC Global Holdings,4
590682,68421,2020-04-02,2025-12-01,23.6796,18.806,20.9265,21.6161,Monthly,OTC Global Holdings,4
590683,505173,2020-04-02,2025-12-01,18.217,12.1827,16.9245,16.1378,Monthly,OTC Global Holdings,4
590684,68422,2020-04-02,2026-01-01,28.801,26.3401,27.6339,29.1989,Monthly,OTC Global Holdings,4
590685,505174,2020-04-02,2026-01-01,22.2722,19.4793,21.1721,21.4584,Monthly,OTC Global Holdings,4
590686,68423,2020-04-02,2026-02-01,28.3573,26.0366,27.3708,28.8422,Monthly,OTC Global Holdings,4
590687,505175,2020-04-02,2026-02-01,21.8067,18.892,20.6763,20.912,Monthly,OTC Global Holdings,4
590688,68424,2020-04-02,2026-03-01,21.2744,15.9506,21.3196,21.2872,Monthly,OTC Global Holdings,4
590689,505176,2020-04-02,2026-03-01,18.5647,11.3326,16.4746,16.1748,Monthly,OTC Global Holdings,4
590690,68425,2020-04-02,2026-04-01,19.7632,14.4614,19.9571,19.8163,Monthly,OTC Global Holdings,4
590691,505177,2020-04-02,2026-04-01,17.1628,9.4886,15.0431,14.602,Monthly,OTC Global Holdings,4
590692,68426,2020-04-02,2026-05-01,20.4796,15.6886,19.7417,20.2306,Monthly,OTC Global Holdings,4
590693,505178,2020-04-02,2026-05-01,17.5651,11.3152,15.9499,15.8014,Monthly,OTC Global Holdings,4
590694,68427,2020-04-02,2026-06-01,36.3117,24.2218,26.7249,28.0905,Monthly,OTC Global Holdings,4
590695,505179,2020-04-02,2026-06-01,19.1389,13.9308,17.252,17.5273,Monthly,OTC Global Holdings,4
590696,68428,2020-04-02,2026-07-01,56.2131,49.1541,47.768,51.7504,Monthly,OTC Global Holdings,4
590697,505180,2020-04-02,2026-07-01,30.3187,24.5628,26.3291,26.1219,Monthly,OTC Global Holdings,4
590698,68429,2020-04-02,2026-08-01,75.6447,68.6243,65.7129,71.2783,Monthly,OTC Global Holdings,4
590699,505181,2020-04-02,2026-08-01,33.0917,28.2184,29.1738,29.1486,Monthly,OTC Global Holdings,4
590700,68430,2020-04-02,2026-09-01,36.4813,25.5557,26.6234,27.7089,Monthly,OTC Global Holdings,4
590701,505182,2020-04-02,2026-09-01,19.0101,15.6689,17.4052,17.7613,Monthly,OTC Global Holdings,4
590702,68431,2020-04-02,2026-10-01,21.4913,16.5969,18.6031,19.4156,Monthly,OTC Global Holdings,4
590703,505183,2020-04-02,2026-10-01,17.1867,11.51,15.2078,15.0087,Monthly,OTC Global Holdings,4
590704,68432,2020-04-02,2026-11-01,21.3806,16.2112,18.379,19.0539,Monthly,OTC Global Holdings,4
590705,505184,2020-04-02,2026-11-01,16.3425,10.5222,14.4133,14.1636,Monthly,OTC Global Holdings,4
590706,68433,2020-04-02,2026-12-01,21.9326,16.8802,18.9392,19.6892,Monthly,OTC Global Holdings,4
590707,505185,2020-04-02,2026-12-01,17.71,14.0111,17.1328,15.7936,Monthly,OTC Global Holdings,4
590708,68434,2020-04-02,2027-01-01,27.0415,24.9649,24.1299,26.0119,Monthly,OTC Global Holdings,4
590709,505186,2020-04-02,2027-01-01,21.6255,17.0828,20.8166,21.0656,Monthly,OTC Global Holdings,4
590710,68435,2020-04-02,2027-02-01,26.6482,24.6916,23.8772,25.7463,Monthly,OTC Global Holdings,4
590711,505187,2020-04-02,2027-02-01,21.17,16.586,20.26,20.4787,Monthly,OTC Global Holdings,4
590712,68436,2020-04-02,2027-03-01,21.0188,16.869,20.2852,20.2273,Monthly,OTC Global Holdings,4
590713,505188,2020-04-02,2027-03-01,18.0165,10.5626,16.2369,16.416,Monthly,OTC Global Holdings,4
590714,68437,2020-04-02,2027-04-01,19.4278,15.178,18.813,18.8253,Monthly,OTC Global Holdings,4
590715,505189,2020-04-02,2027-04-01,16.6746,9.1106,14.7643,14.8627,Monthly,OTC Global Holdings,4
590716,68438,2020-04-02,2027-05-01,22.1161,17.3778,19.7999,21.0067,Monthly,OTC Global Holdings,4
590717,505190,2020-04-02,2027-05-01,17.0979,10.6372,15.6621,15.8512,Monthly,OTC Global Holdings,4
590718,68439,2020-04-02,2027-06-01,34.9996,22.3003,23.2948,25.7681,Monthly,OTC Global Holdings,4
590719,505191,2020-04-02,2027-06-01,18.6426,13.075,16.9651,17.6585,Monthly,OTC Global Holdings,4
590720,68440,2020-04-02,2027-07-01,53.4068,44.371,48.2929,46.7394,Monthly,OTC Global Holdings,4
590721,505192,2020-04-02,2027-07-01,28.8942,23.6137,25.2428,25.5817,Monthly,OTC Global Holdings,4
590722,68441,2020-04-02,2027-08-01,72.1844,62.5308,66.4808,67.0818,Monthly,OTC Global Holdings,4
590723,505193,2020-04-02,2027-08-01,31.5285,26.5373,27.8781,28.3578,Monthly,OTC Global Holdings,4
590724,68442,2020-04-02,2027-09-01,32.6967,20.9744,20.6731,22.9597,Monthly,OTC Global Holdings,4
590725,505194,2020-04-02,2027-09-01,18.544,14.6341,17.0682,17.9332,Monthly,OTC Global Holdings,4
590726,68443,2020-04-02,2027-10-01,22.0069,15.2418,16.4681,17.9568,Monthly,OTC Global Holdings,4
590727,505195,2020-04-02,2027-10-01,16.7593,11.1659,14.9697,15.0076,Monthly,OTC Global Holdings,4
590728,68444,2020-04-02,2027-11-01,21.9074,15.055,16.3918,17.6041,Monthly,OTC Global Holdings,4
590729,505196,2020-04-02,2027-11-01,15.904000000000002,10.0447,14.1138,14.0508,Monthly,OTC Global Holdings,4
590730,68445,2020-04-02,2027-12-01,22.5,15.4425,16.7501,18.0266,Monthly,OTC Global Holdings,4
590731,505197,2020-04-02,2027-12-01,17.242,12.1327,15.5931,15.6713,Monthly,OTC Global Holdings,4
590732,68446,2020-04-02,2028-01-01,32.41,22.821,26.0613,27.0354,Monthly,OTC Global Holdings,4
590733,505198,2020-04-02,2028-01-01,22.2042,16.8465,19.8883,21.0268,Monthly,OTC Global Holdings,4
590734,68447,2020-04-02,2028-02-01,31.9452,22.5681,25.7477,26.6771,Monthly,OTC Global Holdings,4
590735,505199,2020-04-02,2028-02-01,21.7886,16.3996,19.422,20.4193,Monthly,OTC Global Holdings,4
590736,68448,2020-04-02,2028-03-01,19.6995,14.2266,17.7759,17.1631,Monthly,OTC Global Holdings,4
590737,505200,2020-04-02,2028-03-01,17.6551,10.3905,15.4876,16.5276,Monthly,OTC Global Holdings,4
590738,68449,2020-04-02,2028-04-01,18.3095,12.7382,16.3052,15.9119,Monthly,OTC Global Holdings,4
590739,505201,2020-04-02,2028-04-01,16.6864,8.9168,14.5295,15.3677,Monthly,OTC Global Holdings,4
590740,68450,2020-04-02,2028-05-01,21.758000000000006,14.8872,17.8134,18.7698,Monthly,OTC Global Holdings,4
590741,505202,2020-04-02,2028-05-01,17.5834,10.4042,15.9221,16.8401,Monthly,OTC Global Holdings,4
590742,68451,2020-04-02,2028-06-01,34.1227,21.8547,20.7824,22.7698,Monthly,OTC Global Holdings,4
590743,505203,2020-04-02,2028-06-01,19.0376,12.7329,16.8927,18.1229,Monthly,OTC Global Holdings,4
590744,68452,2020-04-02,2028-07-01,49.865,43.5101,43.6777,42.2471,Monthly,OTC Global Holdings,4
590745,505204,2020-04-02,2028-07-01,28.776,22.0975,24.5286,25.2393,Monthly,OTC Global Holdings,4
590746,68453,2020-04-02,2028-08-01,66.8888,60.8139,60.0743,58.1834,Monthly,OTC Global Holdings,4
590747,505205,2020-04-02,2028-08-01,31.3298,24.8821,26.9935,27.8036,Monthly,OTC Global Holdings,4
590748,68454,2020-04-02,2028-09-01,31.9199,22.4087,18.4502,20.6669,Monthly,OTC Global Holdings,4
590749,505206,2020-04-02,2028-09-01,18.9598,14.0408,17.2083,18.5294,Monthly,OTC Global Holdings,4
