,Unnamed: 0,AsOfDate,Term,Houston Zone,West Zone,South Zone,North Zone,Peak,Region,asofmonth
548335,478431,2019-09-07,2020-11-01,24.5287,20.3322,22.7091,22.3542,Monthly,OTC Global Holdings,9
548336,21075,2019-09-07,2020-12-01,20.2477,16.7836,19.0019,18.8398,Monthly,OTC Global Holdings,9
548337,478432,2019-09-07,2020-12-01,24.9881,20.8352,23.1467,22.8509,Monthly,OTC Global Holdings,9
548338,21076,2019-09-07,2021-01-01,22.4582,19.4705,20.5121,20.9977,Monthly,OTC Global Holdings,9
548339,478433,2019-09-07,2021-01-01,30.4621,28.6575,28.6169,29.8474,Monthly,OTC Global Holdings,9
548340,21077,2019-09-07,2021-02-01,21.8663,18.8804,19.9517,20.4066,Monthly,OTC Global Holdings,9
548341,478434,2019-09-07,2021-02-01,30.3603,28.5569,28.4949,29.746,Monthly,OTC Global Holdings,9
548342,21078,2019-09-07,2021-03-01,20.9106,14.3441,18.2375,17.8325,Monthly,OTC Global Holdings,9
548343,478435,2019-09-07,2021-03-01,28.4604,22.1314,25.5558,25.5281,Monthly,OTC Global Holdings,9
548344,21079,2019-09-07,2021-04-01,19.5142,13.0014,16.8948,16.4517,Monthly,OTC Global Holdings,9
548345,478436,2019-09-07,2021-04-01,26.2582,19.9414,23.3889,23.3308,Monthly,OTC Global Holdings,9
548346,21080,2019-09-07,2021-05-01,20.189,14.454,17.8426,17.4299,Monthly,OTC Global Holdings,9
548347,478437,2019-09-07,2021-05-01,29.9095,23.6369,26.5323,26.7323,Monthly,OTC Global Holdings,9
548348,21081,2019-09-07,2021-06-01,21.7806,17.3393,19.2468,19.2263,Monthly,OTC Global Holdings,9
548349,478438,2019-09-07,2021-06-01,40.5165,36.3463,37.2358,37.9174,Monthly,OTC Global Holdings,9
548566,307139,2019-09-08,2020-07-01,116.7004,111.3893,112.3645,112.1002,Monthly,OTC Global Holdings,9
548567,434051,2019-09-08,2020-07-01,32.5973,29.4188,29.5508,29.8047,Monthly,OTC Global Holdings,9
548568,307140,2019-09-08,2020-08-01,191.275,185.9844,188.3674,186.6952,Monthly,OTC Global Holdings,9
548569,434052,2019-09-08,2020-08-01,38.3037,35.6127,35.2979,35.8463,Monthly,OTC Global Holdings,9
548570,307141,2019-09-08,2020-09-01,41.685,38.759,39.5257,39.328,Monthly,OTC Global Holdings,9
548571,434053,2019-09-08,2020-09-01,22.1683,19.8519,20.7358,20.5936,Monthly,OTC Global Holdings,9
548572,307142,2019-09-08,2020-10-01,28.1005,23.9744,26.2584,25.9765,Monthly,OTC Global Holdings,9
548573,434054,2019-09-08,2020-10-01,19.0758,15.2952,17.5717,17.4091,Monthly,OTC Global Holdings,9
548574,307143,2019-09-08,2020-11-01,24.5287,20.3322,22.7091,22.3542,Monthly,OTC Global Holdings,9
